Srno,Department,Budget Head,Allocation
40,000108 Council Office,2502013 Exp. On Different Social/ Cultural/Neem Fastival/ Ahiliya Drama / World garden day (Marathon/Others),1000000
41,000108 Council Office,2502014 Exp. on Socical/Cultural Activivites (I.M.C. Contribution),1000000
42,000108 Council Office,2502015 Exp. on Mayor Wreslling competition,1000000
43,000108 Council Office,2502016 Exp. For Mayor Office,500000
44,000108 Council Office,2502017 Award for Best Corporator in Memory of Rajesh Joshi,100000
45,000108 Council Office,2502019 Poverty Rekhadharkon Antyeshti family support,2000000
46,000108 Council Office,2503001 Contribution to Lata Mangeshkar Prize,600000
47,000108 Council Office,2503002 Contribution to functions of District Administration(Jhanda Uncha Rahe Hamara),200000
48,000108 Council Office,2503003 Contribution to functions of State Administration,1000000
49,000108 Council Office,2503005 IMC Contribution to Ahilya Prizes,200000
50,000108 Council Office,2503006 IMC Contribution In Ganesh Visarjan Jhanki,800000
51,000108 Council Office,2503008 Antonday Fair organized by the state government expenditures on,3000000
52,000108 Council Office,2503010 Support for cultural activities / grants expenditure,2500000
53,000108 Council Office,2602001 IMC Contribution/Grant For Om Nagpal Library,200000
54,000108 Council Office,4105001 Purchase of Vehicles/Motor Car,1500000
55,000108 Council Office,4106004 Purchase of Photo-copiers,200000
56,000108 Council Office,4106011 Purchase of Office Equipment,200000
57,000108 Council Office,4107001 Purchase of Furniture,2500000
58,000108 Council Office,4108016 Expenditure on City center E library,5000000
59,000109 Public Relation Office,2201221 Postage/Courier expenses,300000
60,000109 Public Relation Office,"2202005 Table, Diaries and Calender/ Publication",300000
61,000109 Public Relation Office,2202106 Printing & Stationary Exp.,600000
62,000109 Public Relation Office,2203005 Travelling and Conveyance - Staff,50000
63,000109 Public Relation Office,2206001 Publicity & Advertisement Expenses,15000000
64,000109 Public Relation Office,2206002 Tenders Advertisement Expenses,14000000
65,000109 Public Relation Office,2206004 Issue of Notices,25000
66,000109 Public Relation Office,2206012 Publications expenses of citizen edition on E-News (citizen) Social Media,1000000
67,000109 Public Relation Office,2206022 Publication of Periodicals/Magazines/Others,2000000
68,000109 Public Relation Office,2206043 Photography / Designing & Publication Expenses,2500000
69,000109 Public Relation Office,2206044 Documentary and Video Films,2500000
70,000109 Public Relation Office,2208002 Exp. On Reception of V.I.P.Guests expenses,200000
71,000109 Public Relation Office,2208007 Exp. on Protocool,1100000
72,000109 Public Relation Office,4106025 Purchase of office Equipments,200000
73,000201 Municipal Commissioner's Office,2101001 Salaries & Allowances,27500000
74,000201 Municipal Commissioner's Office,2101021 Wages (Muster Workers),180000000
75,000201 Municipal Commissioner's Office,2101035 Compensation in Death of Muster Employees,5000000
76,000201 Municipal Commissioner's Office,2102031 Medical Allowance/Expenses,500000
77,000201 Municipal Commissioner's Office,2102071 Staff training expenses,500000
78,000201 Municipal Commissioner's Office,2102072 Staff Personality Development Expenses (yoga),1000000
79,000201 Municipal Commissioner's Office,2201130 Maintenance of Records,100000
80,000201 Municipal Commissioner's Office,2201201 Telephone expenses,1200000
81,000201 Municipal Commissioner's Office,2201202 Mobiles/Motorola Set Maint. Exp.,3000000
82,000201 Municipal Commissioner's Office,2201221 Postage/Courier expenses,75000
83,000201 Municipal Commissioner's Office,2202001 Books/Magazines For Office,100000
84,000201 Municipal Commissioner's Office,2202101 Printing expenses,100000
85,000201 Municipal Commissioner's Office,2203005 Travelling and Conveyance - Staff,300000
86,000201 Municipal Commissioner's Office,2205203 Salary of Employees of Training and Cearning Centra,2500000
87,000201 Municipal Commissioner's Office,2206041 Workshop and Seminars,200000
88,000201 Municipal Commissioner's Office,2206103 Membership Fees,500000
89,000201 Municipal Commissioner's Office,2208006 Commissioner's Discretionary Expenses,500000
90,000201 Municipal Commissioner's Office,2208011 Awards (Corporation Employees),200000
91,000201 Municipal Commissioner's Office,2208014 Exp. On Guests,100000
92,000201 Municipal Commissioner's Office,2208051 Miscellaneous expenses,400000
93,000201 Municipal Commissioner's Office,2208053 Miscellaneous Expenses (Zone Head),1500000
94,000201 Municipal Commissioner's Office,2208542 Temporary Employee E P.F. and Insurance Exp,40000000
95,000201 Municipal Commissioner's Office,2305093 Maint. of Typewriter / Photocopy Machine,300000
96,000201 Municipal Commissioner's Office,"2305507 Maint. Of Telephones, EPBX, PBX",500000
97,000201 Municipal Commissioner's Office,2501001 Election Expenses,100000
98,000201 Municipal Commissioner's Office,2501002 Mid-Day Meals in Government Schools,30000000
99,000201 Municipal Commissioner's Office,4106002 Purchase of Computers/Peripherals,100000
100,000201 Municipal Commissioner's Office,4106008 Purchase of Fire Fighting Equipments,300000
101,000201 Municipal Commissioner's Office,4106009 Purchase of Security Equipments,100000
102,000201 Municipal Commissioner's Office,4106010 Purchase of Telephones and Mobiles,2000000
103,000201 Municipal Commissioner's Office,"4108012 Dev. of Play Ground , Stadium Sports Activity",10000000
104,000205 Chief Law Officer,2101001 Salaries & Allowances,6500000
105,000205 Chief Law Officer,2201221 Postage/Courier expenses,50000
106,000205 Chief Law Officer,2202001 Books/Magazines For Office,100000
107,000205 Chief Law Officer,2202101 Printing expenses,10000
108,000205 Chief Law Officer,2203005 Travelling and Conveyance - Staff,50000
109,000205 Chief Law Officer,2205101 Legal Fees,200000
110,000205 Chief Law Officer,2205111 Exp. on Order of Courtand Decree Expenses,200000
111,000205 Chief Law Officer,2205211 Legal fee (Advocate Fees),2500000
112,000205 Chief Law Officer,2208051 Miscellaneous expenses,25000
113,000205 Chief Law Officer,4106011 Purchase of Office Equipment,50000
114,000205 Chief Law Officer,4107001 Purchase of Furniture,50000
115,000207 Laboratory,2101001 Salaries & Allowances,4000000
116,000207 Laboratory,2103005 Commutation of Pension (Staff),50000
117,000207 Laboratory,2201221 Postage/Courier expenses,1000
118,000207 Laboratory,2205202 Exp. On Technilal officer (Public Analyst) / Employees on Contractual basis,500000
119,000207 Laboratory,2208051 Miscellaneous expenses,10000
120,000207 Laboratory,2208501 Examination of Food Samples,100000
121,000207 Laboratory,2208502 Examination of Water Samples,40000
122,000207 Laboratory,2261003 National Accreditation Board for Testing & Calibration Lab (NABL),300000
123,000207 Laboratory,2308007 Laboratory Equipments/ Chemical Exp,1500000
124,000207 Laboratory,2308008 Examination of Pvt. Food Samples,25000
125,000207 Laboratory,4104001 Purchase of Chemical Testing Equipment,300000
126,000301 Accounts Department,2101001 Salaries & Allowances,12500000
127,000301 Accounts Department,2101012 Dearness Allowance,10000000
128,000301 Accounts Department,2101013 Benefit of Revised Salary,500000
129,000301 Accounts Department,2101014 Last Years Salary,1000000
130,000301 Accounts Department,2101015 Dearness Allowance Payable (Staff),2500000
131,000301 Accounts Department,2101016 Dearness Allowance Payable (Safai Kamgar),2500000
132,000301 Accounts Department,2101017 Benefits of Fifth Pay Commission Payable (Staff),500000
133,000301 Accounts Department,2101018 Benefits of Fifth Pay Commission Payable (Safai Kamgar),500000
134,000301 Accounts Department,2101019 Exp. On other Allowances to Staff/ Kamgar,500000
135,000301 Accounts Department,2101021 Wages (Muster Workers),2000000
136,000301 Accounts Department,2101031 Bonus,1000
137,000301 Accounts Department,"2201213 Accounts, Audit & Systems",500000
138,000301 Accounts Department,2201221 Postage/Courier expenses,100000
139,000301 Accounts Department,2202101 Printing expenses,100000
140,000301 Accounts Department,2203005 Travelling and Conveyance - Staff,100000
141,000301 Accounts Department,2204004 Insurance Of Cash,300000
142,000301 Accounts Department,2205011 Audit Exp.,15000000
143,000301 Accounts Department,2205212 C.A. Consultancy Fees,2000000
144,000301 Accounts Department,"2205221 Income Tax Consultancy fees, charges",150000
145,000301 Accounts Department,2208051 Miscellaneous expenses,400000
146,000301 Accounts Department,2305086 Expenditure On Previous Year Devlopment Works,190000000
147,000301 Accounts Department,2305401 Maint. of Furniture /Fixtures,200000
148,000301 Accounts Department,2403001 HUDCO Loan - Interest Payment,10000000
149,000301 Accounts Department,2403003 Interest on HUDCO Lona For Overhead Tank (Old Tank),10000000
150,000301 Accounts Department,2403004 Interest on HUDCO Lona For Overhead Tank (New),4000000
151,000301 Accounts Department,2403005 Interest on Army Loan,2000000
152,000301 Accounts Department,2403006 Interest on Loan of State Govt. (MPEB),1000
153,000301 Accounts Department,2404001 Intrest on Loan of Asian Development Bank water Supply Project,127200000
154,000301 Accounts Department,2405001 Bank Overdraft Charges/ Bank Charges/ Interest,31000000
155,000301 Accounts Department,2405002 Interest on Hudco Loan for JNNURM PROJECT,25000000
156,000301 Accounts Department,2405021 Interest on Proposed Loan,10000000
157,000301 Accounts Department,2406001 Interest on Loan from HUDCO for Municipal Bonds Road Projects,70000000
158,000301 Accounts Department,2502018 Deepawali Exp.,100000
159,000301 Accounts Department,3303003 Loan Repayment for JNNURM,28000000
160,000301 Accounts Department,3303004 Loan Repayment for ABD,153000000
161,000301 Accounts Department,3307001 Repayment of Bonds/ Loan (Escrow A/c),83500000
162,000301 Accounts Department,3308003 Repayment Of Nanda Nagar Infrastructure Loan,9500000
163,000301 Accounts Department,3312001 Repayment Of State Govt. Loan (MPEB),1000
164,000301 Accounts Department,3312003 Repayment Of HUDCO Loan (Tanks Part 2),6000000
165,000301 Accounts Department,3312004 Repayment of Army Loan,4000000
166,000301 Accounts Department,3312006 Repayment of Loan - For Overhead Tank ( Old Water Tank),20000000
167,000301 Accounts Department,4106002 Purchase of Computers/Peripherals,100000
168,000301 Accounts Department,4106011 Purchase of Office Equipment,200000
169,000301 Accounts Department,4107001 Purchase of Furniture,300000
170,000304 Accounts Department,2202107 Printing Exp.for Budget,1000000
171,000403 Pension,2101001 Salaries & Allowances,1500000
172,000403 Pension,2101034 Benefits of Sixth pay Commission Payable Staff / Safai kamgar,50000000
173,000403 Pension,2103001 Pension / Family Pension,225000000
174,000403 Pension,2103003 Pension of Safai Kamgar,80000000
175,000403 Pension,2103004 Commutation of Pension (Safai Kamgar),2000000
176,000403 Pension,2103005 Commutation of Pension (Staff),2500000
177,000403 Pension,2103006 Pension Payable (Staff),1000000
178,000403 Pension,2103007 Family Pension Payable (Staff),2000000
179,000403 Pension,2103008 Pension Payable (Safai Kamgar),500000
180,000403 Pension,2103009 Family Pension Payable (Safai Kamgar),500000
181,000403 Pension,2103010 Benefits of Fifth Pay Commission Payable (Pension),200000
182,000404 Retirement benifit,2101032 Ex-Gratia,1200000
183,000404 Retirement benifit,2104002 Retirement Gratuity,20000000
184,000404 Retirement benifit,2104003 Gratuity Of Safai Kamgar,10000000
185,000404 Retirement benifit,2104006 EX - Gratia (Staff),1000000
186,000404 Retirement benifit,2104008 Leave Encashment (Safai Kamgar),1000000
187,000404 Retirement benifit,2104009 Interest Payable On Late Payment of Gratuity,25000
188,000404 Retirement benifit,2104010 Gratuity Payable (Safai Kamgaar),2000000
189,000404 Retirement benifit,2104011 Leave Encashment,7000000
190,000404 Retirement benifit,2104012 Gratuity Payable (Staff),2500000
191,000501 Hardware & Network management Section,2101001 Salaries & Allowances,6000000
192,000501 Hardware & Network management Section,2102071 Staff training expenses,300000
193,000501 Hardware & Network management Section,2201201 Telephone expenses,800000
194,000501 Hardware & Network management Section,2201221 Postage/Courier expenses,10000
195,000501 Hardware & Network management Section,2201240 Computerization Expenses (e-Governance),15000000
196,000501 Hardware & Network management Section,2201241 Expenses on Networking/Connectivity,6000000
197,000501 Hardware & Network management Section,2202101 Printing expenses,200000
198,000501 Hardware & Network management Section,2203005 Travelling and Conveyance - Staff,100000
199,000501 Hardware & Network management Section,2204009 Insurance (Hardware Equipment),500000
200,000501 Hardware & Network management Section,2205213 Consultation Charges (Map-IT ),500000
201,000501 Hardware & Network management Section,2205214 Software Development Charges (Including other Department),1500000
202,000501 Hardware & Network management Section,2205215 Exp. of Software Devlopment (Colony Cell)),1000
203,000501 Hardware & Network management Section,2205216 Expenses for Hardware Maintenance,2500000
204,000501 Hardware & Network management Section,2208051 Miscellaneous expenses,200000
205,000501 Hardware & Network management Section,2305147 Maint. of Training Room,200000
206,000501 Hardware & Network management Section,4102036 Construction of Counter (H.O.),2500000
207,000501 Hardware & Network management Section,4102037 Construction of Data Center Building,2500000
208,000501 Hardware & Network management Section,4106002 Purchase of Computers/Peripherals,10000000
209,000501 Hardware & Network management Section,4106011 Purchase of Office Equipment,500000
210,000501 Hardware & Network management Section,4106020 Purchase of UPS & Invertor,3000000
211,000501 Hardware & Network management Section,4106022 Purchase of Fire Equipment,100000
212,000501 Hardware & Network management Section,4107001 Purchase of Furniture,500000
213,000601 Materials Handling Section,2101001 Salaries & Allowances,7500000
214,000601 Materials Handling Section,2102041 Uniform Allowance,6000000
215,000601 Materials Handling Section,2201221 Postage/Courier expenses,10000
216,000601 Materials Handling Section,2202101 Printing expenses,2500000
217,000601 Materials Handling Section,2203005 Travelling and Conveyance - Staff,100000
218,000601 Materials Handling Section,2204008 Insurance of Stores & Corp. Building,100000
219,000601 Materials Handling Section,2208051 Miscellaneous expenses,300000
220,000601 Materials Handling Section,4106011 Purchase of Office Equipment,50000
221,000601 Materials Handling Section,4107001 Purchase of Furniture,1000000
222,000701 Workshop Department,2101001 Salaries & Allowances,40000000
223,000701 Workshop Department,2101023 Exp. on New Technical Employees,650000
224,000701 Workshop Department,2201221 Postage/Courier expenses,1000
225,000701 Workshop Department,2202101 Printing expenses,50000
226,000701 Workshop Department,2203005 Travelling and Conveyance - Staff,10000
227,000701 Workshop Department,"2203011 Fuel, Petrol and Diesel - Corporation vehicles",120000000
228,000701 Workshop Department,2204002 Exp. for Vehicle Insurance,5000000
229,000701 Workshop Department,2205103 Payment of Claim on Court Order/Cost of suits / compromises,200000
230,000701 Workshop Department,2205106 Inspection Charges for Workshop Employees,10000
231,000701 Workshop Department,2205109 Facilities Under Factory Act,50000
232,000701 Workshop Department,2208051 Miscellaneous expenses,100000
233,000701 Workshop Department,"2303007 Grease, Mobil Oil & Stores for Maintenance of Vehicles",2200000
234,000701 Workshop Department,2303082 Vehicle Battries,800000
235,000701 Workshop Department,2303083 Maint. of Water Lorry,500000
236,000701 Workshop Department,2303084 Maint. Of Vehicles (Cabin & Body),1000000
237,000701 Workshop Department,2303085 Purchase of Steel Sheets,1000000
238,000701 Workshop Department,2303086 Maint. of Machinery & Die,100000
239,000701 Workshop Department,2303087 Gas and Electric Welding Material,250000
240,000701 Workshop Department,2303088 Maint of Tools Workshop,100000
241,000701 Workshop Department,"2303089 Paint, Varnish and other Goods",200000
242,000701 Workshop Department,2303090 Tyre Remolding and Related Material,50000
243,000701 Workshop Department,2303091 Tyre Tubes For Motors and Machines,2000000
244,000701 Workshop Department,2303092 Vehicle Spares,7000000
245,000701 Workshop Department,2304001 Hire Charges of Light Vehicles,14000000
246,000701 Workshop Department,2304004 Hire Charges of JCB/Dumpers Etc.,35000000
247,000701 Workshop Department,2304005 Hire charges of Drainage Machine,1100000
248,000701 Workshop Department,2305301 Maint of Vehicles (Motor Car),4500000
249,000701 Workshop Department,2305304 Renovation of Vehicles (Trucks),1000000
250,000701 Workshop Department,2305305 Maint. of Tankers,3000000
251,000701 Workshop Department,2305309 Maint. of Hydraulic Vehicles,3000000
252,000701 Workshop Department,2305901 Maint. of Air Compressors,100000
253,000701 Workshop Department,2305902 Pump Sets for service Stations,200000
254,000701 Workshop Department,2305903 Expenses Maintenance of Drainage Vehicles and Engines,1200000
255,000701 Workshop Department,4105001 Purchase of Vehicles/Motor Car,1000000
256,000701 Workshop Department,4105012 Purchase of New Tank Petrol Pump,100000
257,000701 Workshop Department,4105013 Purchase of Tyre Changer Machine,100000
258,000701 Workshop Department,4105014 Purchase of Hydrolic Jack Drill Machine Grinder HEX,50000
259,000701 Workshop Department,4105015 Purchase of Air Compre. For Section MA,50000
260,101102 Urban Planning Section,2201221 Postage/Courier expenses,10000
261,101102 Urban Planning Section,2202101 Printing expenses,100000
262,101102 Urban Planning Section,2203005 Travelling and Conveyance - Staff,25000
263,101102 Urban Planning Section,2208051 Miscellaneous expenses,100000
264,101102 Urban Planning Section,2208511 Expenses on General Survey,500000
265,101102 Urban Planning Section,4102019 Expenses on Rehabilitation of Houses,2500000
266,101102 Urban Planning Section,4103093 Renovation of Akhada,10000000
267,101102 Urban Planning Section,4103095 EXp. from Other goverment funds,10000000
268,200102 Self Finance Section,2201221 Postage/Courier expenses,10000
269,200102 Self Finance Section,2202101 Printing expenses,50000
270,200102 Self Finance Section,2203005 Travelling and Conveyance - Staff,50000
271,200102 Self Finance Section,2205272 Consultant Fees for Self Finance Project,500000
272,200102 Self Finance Section,2208051 Miscellaneous expenses,100000
273,200102 Self Finance Section,2305134 Maint. of other Buildings of corporation,2500000
274,200102 Self Finance Section,2305248 Maint of Building for Self Finance Project,2000000
275,200102 Self Finance Section,2308019 Exp. On Rain Basera Yojna,5000000
276,200102 Self Finance Section,4102002 Anand Mohan Mathur Sbagrh development / expenditure for other functions,100000
277,200102 Self Finance Section,4102003 Market Building(Const. of Trade Center ) maa ahilya vallabh nagar,500000
278,200102 Self Finance Section,4102013 Morden Fish Market Construction,5000000
279,200102 Self Finance Section,4102018 Const. of Meat Selling Shop,7500000
280,200102 Self Finance Section,4102022 Self Finance project nandlal pura sabji mandi,1000000
281,200102 Self Finance Section,4102054 Other Self Finance Project,5000000
282,200102 Self Finance Section,4108006 Construction of New Swimming pool,50000000
283,200102 Self Finance Section,4108009 Beautification and other Civic Works on yashwant sagar Dam,20000000
284,200102 Self Finance Section,4108056 Commercial Use Manik Bagh Railway overbridge Bogda,1000000
285,200102 Self Finance Section,4123044 IMC Contribution to Slum Developemnt(Vambay),1000000
286,202101 Roads and Pavements,2101001 Salaries & Allowances,5000000
287,202101 Roads and Pavements,2201221 Postage/Courier expenses,100000
288,202101 Roads and Pavements,2202101 Printing expenses,200000
289,202101 Roads and Pavements,2203005 Travelling and Conveyance - Staff,200000
290,202101 Roads and Pavements,2208051 Miscellaneous expenses,300000
291,202101 Roads and Pavements,2208511 Expenses on General Survey,500000
292,202101 Roads and Pavements,2208513 Road Design and Devlopment Cell Exp,200000
293,202101 Roads and Pavements,2305132 Traffic Movement,30000000
294,202101 Roads and Pavements,2305142 Exp. on Study for Schems Dev. traffic and Pollution Control,6000000
295,202101 Roads and Pavements,2305161 Public Transport,500000
296,202101 Roads and Pavements,2305176 Marking of roads by thermaplast paint,10000000
297,202101 Roads and Pavements,2305177 construction of boards for Instructions of traffic,1000000
298,202101 Roads and Pavements,2408002 Guarantee Charges on Bond/Loan,10000000
299,202101 Roads and Pavements,2503009 Support for traffic improvements,2500000
300,202101 Roads and Pavements,4102075 Public Transport Contribution /Other To ICTCL,170000000
301,202101 Roads and Pavements,4103009 Connotation Of Feeder Road (II Phase),200000000
302,202101 Roads and Pavements,4103010 Exp for Construction of Road (Feeder Phase 3),250000000
303,202101 Roads and Pavements,4103011 Exp for Construction of Road (Feeder Phase 4),100000000
304,202101 Roads and Pavements,4103012 Exp for Construction of Road (Link Road 1),150000000
305,202101 Roads and Pavements,4103037 Development of Link Road (II Phase),150000000
306,202101 Roads and Pavements,4108014 Expenditure for Metro Train plan,100000000
307,202101 Roads and Pavements,4108054 Dev.of Sawer Road (Industrial Area),10000000
308,202201 Bridges and Flyovers,2201221 Postage/Courier expenses,25000
309,202201 Bridges and Flyovers,2202101 Printing expenses,100000
310,202201 Bridges and Flyovers,2203005 Travelling and Conveyance - Staff,50000
311,202201 Bridges and Flyovers,2208051 Miscellaneous expenses,100000
312,202201 Bridges and Flyovers,2208511 Expenses on General Survey,500000
313,202201 Bridges and Flyovers,2305005 Maint of Bridges & Flyovers,5000000
314,202201 Bridges and Flyovers,2305095 Maint. Of Overbridge/Fly Crossing,500000
315,202201 Bridges and Flyovers,"4103004 Const. of Bridges, Flyovers, Sub-Way Etc.",5000000
316,202201 Bridges and Flyovers,4103025 Dev.of Suspen Bridge from Shantipath to Rambagh Shamshan Ghat,100000
317,202201 Bridges and Flyovers,4103052 Construction of Bridges,100000000
318,202201 Bridges and Flyovers,4103054 Const. of Railway overbridge and Road,5000000
319,202201 Bridges and Flyovers,4103055 Const of Other Bridge,10000000
320,202701 Public Works,2101001 Salaries & Allowances,75000000
321,202701 Public Works,2201001 Rent - Office building,100000
322,202701 Public Works,2201105 Maint. of Stadium,10000000
323,202701 Public Works,2201221 Postage/Courier expenses,10000
324,202701 Public Works,2201240 Computerization Expenses (e-Governance),200000
325,202701 Public Works,2202101 Printing expenses,500000
326,202701 Public Works,2203005 Travelling and Conveyance - Staff,100000
327,202701 Public Works,2205105 Court Fee Stamps,100000
328,202701 Public Works,2206021 Exhibition expenses,300000
329,202701 Public Works,2206041 Workshop and Seminars,200000
330,202701 Public Works,2208051 Miscellaneous expenses,700000
331,202701 Public Works,2208062 Expense on Purchase of Photo & other contngencies,300000
332,202701 Public Works,2208509 Measurement & Map Preparation,100000
333,202701 Public Works,2208510 Expenses on Scanning of Maps,100000
334,202701 Public Works,2208512 Expenses on Zonal Master Plan,1000
335,202701 Public Works,2208532 Expenses on Rehabilitation Expenses,2500000
336,202701 Public Works,2208533 Expenses on Colony Development,20000000
337,202701 Public Works,2208534 Expenses for Lifting of Garbage,6900000
338,202701 Public Works,2303099 Maint. of Road Civil works,40000000
339,202701 Public Works,2305002 Maint of Concrete Roads,50000000
340,202701 Public Works,2305004 Maint. of Roads in Safai Kamgar Colonies,5000000
341,202701 Public Works,2305006 Maint of Sqr. Crossings/ Islands,10000000
342,202701 Public Works,2305008 Main Of Road/ Dividers,3000000
343,202701 Public Works,2305010 Exp. of Trenches - other Deptt.,2500000
344,202701 Public Works,2305013 Drains for Rain & Storm Water,6900000
345,202701 Public Works,2305029 Maint. Of Concrete Roads (Zone Head),13800000
346,202701 Public Works,2305037 Maintenance of Swimming Pools,1000000
347,202701 Public Works,2305038 Maintenance of Cement concret Roads,1000000
348,202701 Public Works,2305039 Maintenance of Zonal offices,2500000
349,202701 Public Works,2305040 Repair and Maintenance of Slaughter Houses,100000
350,202701 Public Works,2305103 Maint. of Playgrounds & Stadium,10000000
351,202701 Public Works,2305107 Maint. of Burning Ghats/Crematoriums,2500000
352,202701 Public Works,2305108 Maint. of Burial Grounds,1500000
353,202701 Public Works,2305133 Gwala Colonay Project and Maint.,100000
354,202701 Public Works,2305201 Maint. of Office Buildings,5000000
355,202701 Public Works,2305205 Maint. of School Buildings,10000000
356,202701 Public Works,2305206 Maint. of Historical Buildings/Monuments,1000000
357,202701 Public Works,2305208 Other Civil Structures/ ISO Award,7500000
358,202701 Public Works,2305210 Maint. of Kondwada,1000000
359,202701 Public Works,2305216 Maint. of School Buildings (Zone Head),6900000
360,202701 Public Works,2305909 Maintenance of Damaged Chambers / Canal lining of Roads,1000
361,202701 Public Works,2305910 Maintenance of Rau – Bilawali channel/ Canal lining,500000
362,202701 Public Works,2305911 Desilting and Maintenance of Rivers/Nallas in Urban Area,2500000
363,202701 Public Works,2602002 Indore Development Authority,5000000
364,202701 Public Works,2602003 Administrative Reforms,10000
365,202701 Public Works,"2602004 Krishnapura Chhatri, Removeal of Gumtis & Compensation to Alampura Trust",50000
366,202701 Public Works,2602006 Exp on Transfer of Housing co.,200000
367,202701 Public Works,2602007 Exp on Transfer of Colonies- IDA,1000
368,202701 Public Works,4101094 Const of Boundry Wall at public Places,30000000
369,202701 Public Works,4101099 Dev. Of Vacant Land,10000000
370,202701 Public Works,4102001 Expansion of nigam Office Buildings,10000000
371,202701 Public Works,4102005 Constrn. & Expansion of School Building,150000000
372,202701 Public Works,4102006 Constrn. of Staff Quarters,5000000
373,202701 Public Works,4102009 Expansion of Parking Lots,10000000
374,202701 Public Works,4102011 Const./ Development of Burning Ghats/Crematoriums,70000000
375,202701 Public Works,4102012 Const./ Development of Burial Grounds,10000000
376,202701 Public Works,4102015 Const. of Toilets in Govt Girls Schools,2500000
377,202701 Public Works,4102025 Public Statues,2000000
378,202701 Public Works,4102038 Exp for Rajeev Aawas yojna,200000000
379,202701 Public Works,4102039 expenditure on bus Stand building Constration,20000000
380,202701 Public Works,4102049 Ashray Nidhi Grant Exp,10000000
381,202701 Public Works,4102078 Const. of Computer Room in Nagar Nigam,100000
382,202701 Public Works,4102099 Const. Zonal and Ward offices,15000000
383,202701 Public Works,4103001 Zonal Cement Concrete Roads,150000000
384,202701 Public Works,4103002 Exp. on Mayor at Door Program,50000000
385,202701 Public Works,4103005 Development of Main Traffic Crossing Sqr.,20000000
386,202701 Public Works,4103013 Viability Gap Funding Contribution to I.C.T.C.L for public transport,1500000
387,202701 Public Works,4103015 Exp for Art gallery (Central),500000
388,202701 Public Works,4103016 Scheme for Urban women Employment/ Exhibition Program,1000000
389,202701 Public Works,4103017 Construction of Road At Devdharam / Pitraparwat,5000000
390,202701 Public Works,4103019 Zonel Cement Concrete Roads (Zone Head),30000000
391,202701 Public Works,4103034 Const. of Road(Jansahyog) IMC Contribution,150000000
392,202701 Public Works,4103035 Const. of Road(Jansahyog) Public Contribution,50000000
393,202701 Public Works,4103036 Const. Roads in Safai Kamgar/Urban poor colony,100000000
394,202701 Public Works,4103038 Const. of Road work at Zone(parshad),103500000
395,202701 Public Works,4103039 Const. of Road work at Zone(Mayor),39990000
396,202701 Public Works,4103088 Constration of Gate at Main Road (Ahliya Dwaar),10000
