Srno,Department,Budget Head,Allocation
86,000201 Municipal Commissioner's Office,2208014 Exp. On Guests,100000
87,000201 Municipal Commissioner's Office,2208051 Miscellaneous expenses,300000
88,000201 Municipal Commissioner's Office,2208051 Miscellaneous expenses,400000
89,000201 Municipal Commissioner's Office,2305093 Maint. of Typewriter / Photocopy Machine,300000
90,000201 Municipal Commissioner's Office,"2305507 Maint. Of Telephones, EPBX, PBX",200000
91,000201 Municipal Commissioner's Office,2501001 Election Expenses,100000
92,000201 Municipal Commissioner's Office,2501002 Mid-Day Meals in Government Schools,30000000
93,000201 Municipal Commissioner's Office,4106002 Purchase of Computers/Peripherals,100000
94,000201 Municipal Commissioner's Office,4106008 Purchase of Fire Fighting Equipments,300000
95,000201 Municipal Commissioner's Office,4106009 Purchase of Security Equipments,100000
96,000201 Municipal Commissioner's Office,4106010 Purchase of Telephones and Mobiles,5000000
97,000205 Chief Law Officer,2101001 Salaries & Allowances,3000000
98,000205 Chief Law Officer,2201221 Postage/Courier expenses,50000
99,000205 Chief Law Officer,2202001 Books/Magazines For Office,100000
100,000205 Chief Law Officer,2202101 Printing expenses,10000
101,000205 Chief Law Officer,2203005 Travelling and Conveyance - Staff,50000
102,000205 Chief Law Officer,2205101 Legal Fees,200000
103,000205 Chief Law Officer,2205111 Exp. on Order of Courtand Decree Expenses,200000
104,000205 Chief Law Officer,2205211 Legal fee (Advocate Fees),2500000
105,000205 Chief Law Officer,2208051 Miscellaneous expenses,25000
106,000205 Chief Law Officer,4106011 Purchase of Office Equipment,50000
107,000205 Chief Law Officer,4107001 Purchase of Furniture,50000
108,000207 Laboratory,2101001 Salaries & Allowances,2500000
109,000207 Laboratory,2103005 Commutation of Pension (Staff),50000
110,000207 Laboratory,2201221 Postage/Courier expenses,1000
111,000207 Laboratory,2205202 Exp. On Technilal officer (Public Analyst) / Employees on Contractual basis,500000
112,000207 Laboratory,2208051 Miscellaneous expenses,10000
113,000207 Laboratory,2208501 Examination of Food Samples,100000
114,000207 Laboratory,2208502 Examination of Water Samples,40000
115,000207 Laboratory,2261003 National Accreditation Board for Testing & Calibration Lab (NABL),300000
116,000207 Laboratory,2308007 Laboratory Equipments/ Chemical Exp,2500000
117,000207 Laboratory,2308008 Examination of Pvt. Food Samples,25000
118,000207 Laboratory,4104001 Purchase of Chemical Testing Equipment,300000
119,000301 Accounts Department,2101001 Salaries & Allowances,7000000
120,000301 Accounts Department,2101012 Dearness Allowance,20000000
121,000301 Accounts Department,2101013 Benefit of Revised Salary,500000
122,000301 Accounts Department,2101014 Last Years Salary,1000000
123,000301 Accounts Department,2101015 Dearness Allowance Payable (Staff),15000000
124,000301 Accounts Department,2101016 Dearness Allowance Payable (Safai Kamgar),10000000
125,000301 Accounts Department,2101017 Benefits of Fifth Pay Commission Payable (Staff),500000
126,000301 Accounts Department,2101018 Benefits of Fifth Pay Commission Payable (Safai Kamgar),500000
127,000301 Accounts Department,2101019 Exp. On other Allowances to Staff/ Kamgar,500000
128,000301 Accounts Department,2101021 Wages (Muster Workers),2000000
129,000301 Accounts Department,2101031 Bonus,1000
130,000301 Accounts Department,"2201213 Accounts, Audit & Systems",500000
131,000301 Accounts Department,2201221 Postage/Courier expenses,100000
132,000301 Accounts Department,2202101 Printing expenses,100000
133,000301 Accounts Department,2203005 Travelling and Conveyance - Staff,100000
134,000301 Accounts Department,2204004 Insurance Of Cash,300000
135,000301 Accounts Department,2205011 Audit Exp.,10000000
136,000301 Accounts Department,2205212 C.A. Consultancy Fees,500000
137,000301 Accounts Department,"2205221 Income Tax Consultancy fees, charges",20000
138,000301 Accounts Department,2208051 Miscellaneous expenses,100000
139,000301 Accounts Department,2305086 Expenditure On Previous Year Devlopment Works,150000000
140,000301 Accounts Department,2305401 Maint. of Furniture /Fixtures,200000
141,000301 Accounts Department,2403006 Interest on Loan of State Govt. (MPEB),20000000
142,000301 Accounts Department,2405001 Bank Overdraft Charges/ Bank Charges/ Interest,6000000
143,000301 Accounts Department,2502018 Deepawali Exp.,100000
144,000301 Accounts Department,4106002 Purchase of Computers/Peripherals,100000
145,000301 Accounts Department,4106004 Purchase of Photo-copiers,100000
146,000301 Accounts Department,4106011 Purchase of Office Equipment,50000
147,000301 Accounts Department,4107001 Purchase of Furniture,300000
148,000304 Accounts Department,2202107 Printing Exp.for Budget,1500000
149,000403 Pension,2101001 Salaries & Allowances,1000000
150,000403 Pension,2101034 Benefits of Sixth pay Commission Payable Staff / Safai kamgar,50000000
151,000403 Pension,2103001 Pension / Family Pension,80000000
152,000403 Pension,2103003 Pension of Safai Kamgar,50000000
153,000403 Pension,2103004 Commutation of Pension (Safai Kamgar),2000000
154,000403 Pension,2103005 Commutation of Pension (Staff),2500000
155,000403 Pension,2103006 Pension Payable (Staff),1000000
156,000403 Pension,2103007 Family Pension Payable (Staff),2000000
157,000403 Pension,2103008 Pension Payable (Safai Kamgar),500000
158,000403 Pension,2103009 Family Pension Payable (Safai Kamgar),500000
159,000403 Pension,2103010 Benefits of Fifth Pay Commission Payable (Pension),200000
160,000403 Pension,2103013 Benefits of Sixth pay Commission Payable (Pension),20000000
161,000404 Retirement benifit,2101032 Ex-Gratia,1200000
162,000404 Retirement benifit,2104002 Retirement Gratuity,11000000
163,000404 Retirement benifit,2104003 Gratuity Of Safai Kamgar,5000000
164,000404 Retirement benifit,2104006 EX - Gratia (Staff),800000
165,000404 Retirement benifit,2104008 Leave Encashment (Safai Kamgar),800000
166,000404 Retirement benifit,2104009 Interest Payable On Late Payment of Gratuity,25000
167,000404 Retirement benifit,2104010 Gratuity Payable (Safai Kamgaar),2000000
168,000404 Retirement benifit,2104011 Leave Encashment,5000000
169,000404 Retirement benifit,2104012 Gratuity Payable (Staff),2500000
170,000501 Hardware & Network management Section,2101001 Salaries & Allowances,1900000
171,000501 Hardware & Network management Section,2102071 Staff training expenses,100000
172,000501 Hardware & Network management Section,2201201 Telephone expenses,500000
173,000501 Hardware & Network management Section,2201221 Postage/Courier expenses,10000
174,000501 Hardware & Network management Section,2201240 Computerization Expenses (e-Governance),10000000
175,000501 Hardware & Network management Section,2201241 Expenses on Networking/Connectivity,1500000
176,000501 Hardware & Network management Section,2202101 Printing expenses,200000
177,000501 Hardware & Network management Section,2203005 Travelling and Conveyance - Staff,100000
178,000501 Hardware & Network management Section,2204009 Insurance (Hardware Equipment),500000
179,000501 Hardware & Network management Section,2205213 Consultation Charges (Map-IT ),500000
180,000501 Hardware & Network management Section,2205214 Software Development Charges (Including other Department),4000000
181,000501 Hardware & Network management Section,2205215 Exp. of Software Devlopment (Colony Cell)),1000
182,000501 Hardware & Network management Section,2205216 Expenses for Hardware Maintenance,2500000
183,000501 Hardware & Network management Section,2208051 Miscellaneous expenses,200000
184,000501 Hardware & Network management Section,2305147 Maint. of Training Room,200000
185,000501 Hardware & Network management Section,4102036 Construction of Counter (H.O.),2500000
186,000501 Hardware & Network management Section,4106002 Purchase of Computers/Peripherals,500000
187,000501 Hardware & Network management Section,4106011 Purchase of Office Equipment,500000
188,000501 Hardware & Network management Section,4106020 Purchase of UPS & Invertor,1000000
189,000501 Hardware & Network management Section,4106022 Purchase of Fire Equipment,100000
190,000501 Hardware & Network management Section,4107001 Purchase of Furniture,500000
191,000601 Materials Handling Section,2101001 Salaries & Allowances,3300000
192,000601 Materials Handling Section,2102041 Uniform Allowance,6000000
193,000601 Materials Handling Section,2201221 Postage/Courier expenses,10000
194,000601 Materials Handling Section,2202101 Printing expenses,2500000
195,000601 Materials Handling Section,2203005 Travelling and Conveyance - Staff,100000
196,000601 Materials Handling Section,2204008 Insurance of Stores & Corp. Building,200000
197,000601 Materials Handling Section,2208051 Miscellaneous expenses,300000
198,000601 Materials Handling Section,4106011 Purchase of Office Equipment,50000
199,000601 Materials Handling Section,4107001 Purchase of Furniture,1000000
200,000701 Workshop Department,2101001 Salaries & Allowances,21886000
201,000701 Workshop Department,2101023 Exp. on New Technical Employees,650000
202,000701 Workshop Department,2201221 Postage/Courier expenses,1000
203,000701 Workshop Department,2202101 Printing expenses,50000
204,000701 Workshop Department,2203005 Travelling and Conveyance - Staff,10000
205,000701 Workshop Department,"2203011 Fuel, Petrol and Diesel - Corporation vehicles",120000000
206,000701 Workshop Department,2204002 Exp. for Vehicle Insurance,2000000
207,000701 Workshop Department,2205103 Payment of Claim on Court Order/Cost of suits / compromises,200000
208,000701 Workshop Department,2205106 Inspection Charges for Workshop Employees,10000
209,000701 Workshop Department,2205109 Facilities Under Factory Act,50000
210,000701 Workshop Department,2208051 Miscellaneous expenses,100000
211,000701 Workshop Department,"2303007 Grease, Mobil Oil & Stores for Maintenance of Vehicles",1800000
212,000701 Workshop Department,2303082 Vehicle Battries,800000
213,000701 Workshop Department,2303083 Maint. of Water Lorry,500000
214,000701 Workshop Department,2303084 Maint. Of Vehicles (Cabin & Body),1000000
215,000701 Workshop Department,2303085 Purchase of Steel Sheets,1000000
216,000701 Workshop Department,2303086 Maint. of Machinery & Die,100000
217,000701 Workshop Department,2303087 Gas and Electric Welding Material,250000
218,000701 Workshop Department,2303088 Maint of Tools Workshop,100000
219,000701 Workshop Department,"2303089 Paint, Varnish and other Goods",200000
220,000701 Workshop Department,2303090 Tyre Remolding and Related Material,50000
221,000701 Workshop Department,2303091 Tyre Tubes For Motors and Machines,1800000
222,000701 Workshop Department,2303092 Vehicle Spares,7000000
223,000701 Workshop Department,2304001 Hire Charges of Light Vehicles,12000000
224,000701 Workshop Department,2304005 Hire charges of Drainage Machine,1100000
225,000701 Workshop Department,2305086 Expenditure On Previous Year Devlopment Works,1000000
226,000701 Workshop Department,2305301 Maint of Vehicles (Motor Car),3500000
227,000701 Workshop Department,2305304 Renovation of Vehicles (Trucks),1000000
228,000701 Workshop Department,2305305 Maint. of Tankers,3000000
229,000701 Workshop Department,2305309 Maint. of Hydraulic Vehicles,3000000
230,000701 Workshop Department,2305901 Maint. of Air Compressors,100000
231,000701 Workshop Department,2305902 Pump Sets for service Stations,200000
232,000701 Workshop Department,2305903 Expenses Maintenance of Drainage Vehicles and Engines,1200000
233,000701 Workshop Department,3306001 Vehicles Loan,1000
234,000701 Workshop Department,4105001 Purchase of Vehicles/Motor Car,4000000
235,000701 Workshop Department,4105012 Purchase of New Tank Petrol Pump,100000
236,000701 Workshop Department,4105013 Purchase of Tyre Changer Machine,100000
237,000701 Workshop Department,4105014 Purchase of Hydrolic Jack Drill Machine Grinder HEX,50000
238,000701 Workshop Department,4105015 Purchase of Air Compre. For Section MA,50000
239,101102 Urban Planning Section,2201221 Postage/Courier expenses,10000
240,101102 Urban Planning Section,2202101 Printing expenses,100000
241,101102 Urban Planning Section,2203005 Travelling and Conveyance - Staff,25000
242,101102 Urban Planning Section,2208051 Miscellaneous expenses,100000
243,101102 Urban Planning Section,2208511 Expenses on General Survey,1000000
244,101102 Urban Planning Section,4102019 Expenses on Rehabilitation of Houses,2500000
245,101102 Urban Planning Section,4103093 Renovation of Akhada,10000000
246,101102 Urban Planning Section,4103095 EXp. from Other goverment funds,30000000
247,101102 Urban Planning Section,4104088 Plant and Machinery,100000
248,200102 Self Finance Section,2201221 Postage/Courier expenses,10000
249,200102 Self Finance Section,2202101 Printing expenses,50000
250,200102 Self Finance Section,2203005 Travelling and Conveyance - Staff,50000
251,200102 Self Finance Section,2205272 Consultant Fees for Self Finance Project,2000000
252,200102 Self Finance Section,2208051 Miscellaneous expenses,100000
253,200102 Self Finance Section,2305134 Maint. of other Buildings of corporation,2500000
254,200102 Self Finance Section,2305248 Maint of Building for Self Finance Project,2000000
255,200102 Self Finance Section,4102002 Anand Mohan Mathur Sbagrh development / expenditure for other functions,2000000
256,200102 Self Finance Section,4102003 Market Building(Const. of Trade Center ) maa ahilya vallabh nagar,500000
257,200102 Self Finance Section,4102013 Morden Fish Market Construction,2000000
258,200102 Self Finance Section,4102018 Const. of Meat Selling Shop,2000000
259,200102 Self Finance Section,4102022 Self Finance project nandlal pura sabji mandi,1000000
260,200102 Self Finance Section,4102054 Other Self Finance Project,1000000
261,200102 Self Finance Section,4106023 Exp. On Scanning and Indexing Work,2000000
262,200102 Self Finance Section,4108006 Construction of New Swimming pool,20000000
263,200102 Self Finance Section,4108009 Beautification and other Civic Works on yashwant sagar Dam,20000000
264,200102 Self Finance Section,4108055 Exp on other self finance project,10000000
265,200102 Self Finance Section,4108056 Commercial Use Manik Bagh Railway overbridge Bogda,500000
266,200102 Self Finance Section,4108076 Project Monitoring Consulting Supervision Charges,1500000
267,200102 Self Finance Section,4123044 IMC Contribution to Slum Developemnt(Vambay),5000000
268,202101 Roads and Pavements,2101001 Salaries & Allowances,9000000
269,202101 Roads and Pavements,2201221 Postage/Courier expenses,100000
270,202101 Roads and Pavements,2202101 Printing expenses,100000
271,202101 Roads and Pavements,2203005 Travelling and Conveyance - Staff,50000
272,202101 Roads and Pavements,2208051 Miscellaneous expenses,300000
273,202101 Roads and Pavements,2208511 Expenses on General Survey,500000
274,202101 Roads and Pavements,2208513 Road Design and Devlopment Cell Exp,200000
275,202101 Roads and Pavements,2406001 Interest on Loan from HUDCO for Municipal Bonds Road Projects,54906000
276,202101 Roads and Pavements,2408002 Guarantee Charges on Bond/Loan,15000000
277,202101 Roads and Pavements,4103009 Connotation Of Feeder Road (II Phase),400000000
278,202101 Roads and Pavements,4103037 Development of Link Road (II Phase),100000000
279,202101 Roads and Pavements,4103096 City Road - Metal,100000
280,202101 Roads and Pavements,4103097 City Road - Cement concrete,100000000
281,202101 Roads and Pavements,4103099 City Road - Butuman,100000000
282,202101 Roads and Pavements,4103184 Exp. On Rain water Drainage System on City Road,5000000
283,202101 Roads and Pavements,4108008 Beautification Of Roads Built under RDD cell,5000000
284,202101 Roads and Pavements,4108054 Dev.of Sawer Road (Industrial Area),30000000
285,202201 Bridges and Flyovers,2201221 Postage/Courier expenses,25000
286,202201 Bridges and Flyovers,2202101 Printing expenses,100000
287,202201 Bridges and Flyovers,2203005 Travelling and Conveyance - Staff,50000
288,202201 Bridges and Flyovers,2208051 Miscellaneous expenses,100000
289,202201 Bridges and Flyovers,2208511 Expenses on General Survey,500000
290,202201 Bridges and Flyovers,2305005 Maint of Bridges & Flyovers,10000000
291,202201 Bridges and Flyovers,2305095 Maint. Of Overbridge/Fly Crossing,2000000
292,202201 Bridges and Flyovers,"4103004 Const. of Bridges, Flyovers, Sub-Way Etc.",10000000
293,202201 Bridges and Flyovers,4103025 Dev.of Suspen Bridge from Shantipath to Rambagh Shamshan Ghat,1000000
294,202201 Bridges and Flyovers,4103052 Construction of Bridges,150000000
295,202201 Bridges and Flyovers,4103054 Const. of Railway overbridge and Road,5000000
296,202201 Bridges and Flyovers,4103055 Const of Other Bridge,50000000
297,202201 Bridges and Flyovers,4103066 Const. of Manikbagh Bridge,5000000
298,202201 Bridges and Flyovers,4103077 Const. Of Overbridge - Juni Indore,1000000
299,202701 Public Works,2101001 Salaries & Allowances,45000000
300,202701 Public Works,2201001 Rent - Office building,100000
301,202701 Public Works,2201105 Maint. of Stadium,20000000
302,202701 Public Works,2201221 Postage/Courier expenses,1000000
303,202701 Public Works,2201240 Computerization Expenses (e-Governance),100000
304,202701 Public Works,2202101 Printing expenses,300000
305,202701 Public Works,2203005 Travelling and Conveyance - Staff,100000
306,202701 Public Works,2205105 Court Fee Stamps,100000
307,202701 Public Works,2206021 Exhibition expenses,200000
308,202701 Public Works,2206041 Workshop and Seminars,300000
309,202701 Public Works,2208051 Miscellaneous expenses,500000
310,202701 Public Works,2208062 Expense on Purchase of Photo & other contngencies,500000
311,202701 Public Works,2208509 Measurement & Map Preparation,100000
312,202701 Public Works,2208510 Expenses on Scanning of Maps,2000000
313,202701 Public Works,2208512 Expenses on Zonal Master Plan,1000000
314,202701 Public Works,2208532 Expenses on Rehabilitation Expenses,2500000
315,202701 Public Works,2208533 Expenses on Colony Development,20000000
316,202701 Public Works,2208534 Expenses for Lifting of Garbage,4500000
317,202701 Public Works,2303099 Maint. of Road Civil works,15000000
318,202701 Public Works,2304004 Hire Charges of JCB/Dumpers Etc.,30000000
319,202701 Public Works,2305002 Maint of Concrete Roads,7500000
320,202701 Public Works,2305002 Maint of Concrete Roads,65000000
321,202701 Public Works,2305004 Maint. of Roads in Safai Kamgar Colonies,1500000
322,202701 Public Works,2305006 Maint of Sqr. Crossings/ Islands,1500000
323,202701 Public Works,2305008 Main Of Road/ Dividers,2000000
324,202701 Public Works,2305010 Exp. of Trenches - other Deptt.,100000
325,202701 Public Works,2305013 Drains for Rain & Storm Water,6000000
326,202701 Public Works,2305037 Maintenance of Swimming Pools,5000000
327,202701 Public Works,2305038 Maintenance of Cement concret Roads,5000000
328,202701 Public Works,2305039 Maintenance of Zonal offices,1500000
329,202701 Public Works,2305040 Repair and Maintenance of Slaughter Houses,5000000
330,202701 Public Works,2305103 Maint. of Playgrounds & Stadium,1000000
331,202701 Public Works,2305107 Maint. of Burning Ghats/Crematoriums,1500000
332,202701 Public Works,2305108 Maint. of Burial Grounds,1000000
333,202701 Public Works,2305132 Traffic Movement,30000000
334,202701 Public Works,2305133 Gwala Colonay Project and Maint.,1000000
335,202701 Public Works,2305142 Exp. on Study for Schems Dev. traffic and Pollution Control,200000
336,202701 Public Works,2305161 Public Transport,500000
337,202701 Public Works,2305176 Marking of roads by thermaplast paint,5000000
338,202701 Public Works,2305177 construction of boards for Instructions of traffic,5000000
339,202701 Public Works,2305197 Maintenance of Nehru park,500000
340,202701 Public Works,2305198 Maintenance of gardens and entertainment Places,10000000
341,202701 Public Works,2305201 Maint. of Office Buildings,5000000
342,202701 Public Works,2305205 Maint. of School Buildings,7500000
343,202701 Public Works,2305205 Maint. of School Buildings,17500000
344,202701 Public Works,2305206 Maint. of Historical Buildings/Monuments,1000000
345,202701 Public Works,2305208 Other Civil Structures/ ISO Award,7500000
346,202701 Public Works,2305210 Maint. of Kondwada,2500000
347,202701 Public Works,2305909 Maintenance of Damaged Chambers / Canal lining of Roads,5000000
348,202701 Public Works,2305910 Maintenance of Rau – Bilawali channel/ Canal lining,5000000
349,202701 Public Works,2305911 Desilting and Maintenance of Rivers/Nallas in Urban Area,2500000
350,202701 Public Works,2403001 HUDCO Loan - Interest Payment,10000000
351,202701 Public Works,2403002 Manik Bagh Overbridge,2500000
352,202701 Public Works,2602002 Indore Development Authority,20000000
353,202701 Public Works,2602003 Administrative Reforms,10000
354,202701 Public Works,"2602004 Krishnapura Chhatri, Removeal of Gumtis & Compensation to Alampura Trust",50000
355,202701 Public Works,2602006 Exp on Transfer of Housing co.,200000
356,202701 Public Works,2602007 Exp on Transfer of Colonies- IDA,100000
357,202701 Public Works,3307001 Repayment of Bonds/ Loan (Escrow A/c),83500000
358,202701 Public Works,3308002 Repayment of Loan - Manik Bagh overbridge,5200000
359,202701 Public Works,3308003 Repayment Of Nanda Nagar Infrastructure Loan,9500000
360,202701 Public Works,4101005 Dev. of Parks & Gardens,100000000
361,202701 Public Works,4101094 Const of Boundry Wall at public Places,10000000
362,202701 Public Works,4101099 Dev. Of Vacant Land,10000000
363,202701 Public Works,4102001 Expansion of nigam Office Buildings,20000000
364,202701 Public Works,4102005 Constrn. & Expansion of School Building,150000000
365,202701 Public Works,4102006 Constrn. of Staff Quarters,1000000
366,202701 Public Works,4102009 Expansion of Parking Lots,10000000
367,202701 Public Works,4102011 Const./ Development of Burning Ghats/Crematoriums,20000000
368,202701 Public Works,4102012 Const./ Development of Burial Grounds,5000000
369,202701 Public Works,4102015 Const. of Toilets in Govt Girls Schools,20000000
370,202701 Public Works,4102025 Public Statues,5000000
371,202701 Public Works,4102028 Water Refilling in the Parks,1000000
372,202701 Public Works,4102049 Ashray Nidhi Grant Exp,40000000
373,202701 Public Works,4102075 Public Transport Contribution /Other To ICTCL,100000
374,202701 Public Works,4102078 Const. of Computer Room in Nagar Nigam,500000
375,202701 Public Works,4102099 Const. Zonal and Ward offices,50000000
376,202701 Public Works,4103001 Zonal Cement Concrete Roads,100000000
377,202701 Public Works,4103001 Zonal Cement Concrete Roads,15000000
378,202701 Public Works,4103002 Exp. on Mayor at Door Program,10000000
379,202701 Public Works,4103005 Development of Main Traffic Crossing Sqr.,10000000
380,202701 Public Works,4103008 Road side Avenue Plantation (Project Green),10000000
381,202701 Public Works,4103010 Exp for Construction of Road (Feeder Phase 3),200000000
382,202701 Public Works,4103011 Exp for Construction of Road (Feeder Phase 4),150000000
383,202701 Public Works,4103012 Exp for Construction of Road (Link Road 1),50000000
384,202701 Public Works,4103013 Viability Gap Funding Contribution to I.C.T.C.L for public transport,1500000
385,202701 Public Works,4103014 Construction of Elevated Road on Subhash Marg,10000000
386,202701 Public Works,4103015 Exp for Art gallery (Central),2500000
387,202701 Public Works,4103016 Scheme for Urban women Employment/ Exhibition Program,5000000
388,202701 Public Works,4103034 Const. of Road(Jansahyog) IMC Contribution,150000000
389,202701 Public Works,4103035 Const. of Road(Jansahyog) Public Contribution,50000000
390,202701 Public Works,4103036 Const. Roads in Safai Kamgar/Urban poor colony,80000000
391,202701 Public Works,4103038 Const. of Road work at Zone(parshad),69000000
392,202701 Public Works,4103039 Const. of Road work at Zone(Mayor),30000000
393,202701 Public Works,4103088 Constration of Gate at Main Road (Ahliya Dwaar),5000000
394,202701 Public Works,4103094 Ravindra Natya development / expenditure for other functions,2000000
395,202701 Public Works,4103098 Acquisition of Land and Building Due to Road Widening,10000000
396,202701 Public Works,4103102 Const. of Water Storm Drain of Zonal Roads Except Bond Road,10000000
397,202701 Public Works,4104042 Purchase of Equip.for atikraman Removal of Encroachment,2000000
398,202701 Public Works,4106002 Purchase of Computers/Peripherals,500000
399,202701 Public Works,4106011 Purchase of Office Equipment,500000
400,202701 Public Works,4108001 Nandanagar Infrastructure Dev.,10000000
